Year,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1960,1047.29,3170.74,835.33,2065.21,792.48,2449.79,542.86,600.12,880.69,1086.57,2917.33,2104.7,1102.29,1690.17,3694.66,2466.53,1656.69,1280.18,590.82,378.15,1274.33,1097.29,2453.69,1603.1,187.41,338.8,451.29,544.12,519.26,581.67,537.14,1006.67,1099.59,633.41,1583.05,1093.96,1027.6,1319.19,1757.46,835.24,1172.9,1111.89,1845.53,1044.39,1125.87
1961,1286.98,3137.32,995.78,2018.47,922.09,3802.55,1004.37,760.44,1094.86,1612.23,4053.46,1941.7,1473.7,1718.31,3371.94,3326.25,1661.06,1551.26,778.77,606.77,1341.3,1067.16,3025.87,1592.23,169.85,343.26,476.49,634.83,602.85,665.75,640.24,1252.66,1326.59,740.21,1829.45,1111.77,1382.7,1604.44,2253.74,1141.3,1274.03,1392.4,2663.87,1198.89,1296.47
1962,1169.53,3113.4,1147.46,2259.03,822.79,2851.22,654.48,694.78,1121.42,1299.3,2900.42,1665.3,1275.4,1635.42,3463.23,2328,1744.35,1375.68,859.3,452.11,1586.95,1085.71,2286.04,1582.07,170.04,368.75,488.13,663.91,620.42,721.07,642.98,1367.32,1485.67,759.85,1947.77,1266.18,1436.7,1376.14,1837.87,867.02,1129.14,1220.5,1804.03,1150.14,1276.17
1963,1149.64,3133.6,962.15,2257.69,796.12,2794.47,805.27,585.27,874.23,1176.58,2538.72,1793.1,1254.21,1715.67,3858.23,2357.11,1770.4,1439.71,554.93,432.9,1519.58,1144.42,2259.7,1800.86,153.36,291.98,440.87,500.97,484.91,513.84,512.89,857.14,961.75,584.91,1723.67,1339.49,1011.6,1478.08,2102.14,915.65,1407.42,1127.36,2062.84,1155.26,1271.09
1964,1189.87,3329.64,930.39,2417.76,966.51,3201.47,840.61,795.64,1073.38,1470.16,3189.13,1683.3,1264.8,2097.21,4369.08,3070.89,2008.89,1407.11,837.65,496.88,1328.77,1116.14,2934.02,1691.52,195.95,424.41,580.21,736.48,699.21,758.44,721.88,1330.7,1423.05,824.95,1872.63,1174.1,1401.3,1376.19,2363.07,1197.1,1280.92,1074.3,1994.03,1093.66,1205.67
1965,953.51,3114.61,774.55,2224.95,537.96,2804.94,654.82,433.76,748.93,888.64,1964.85,1733.7,1107.44,1783.23,3866.76,2719.5,1776.13,1214.4,455.65,336.32,1199.96,947.26,2465.81,1713.3,151.92,317.62,495.81,591.18,572.18,567.57,605.54,892.47,944.87,669.96,1751.71,1285.63,779.9,1091.05,2244.22,710.18,1126.06,752.48,1641.97,833.79,947.85
1966,1024.35,2889.15,953.49,2376.57,741.23,2638.07,591,619.03,1061.78,1190.15,2352.76,1513.5,1052.64,1885.24,3899.63,2698.11,1985.51,1177.89,707.11,405.1,1337.98,1284.59,2384.43,1391.86,221.48,425.89,639.2,797.17,756.05,778.8,781.56,1315.98,1395.22,868.51,1973.4,1141.97,1169.1,1184.26,1762.63,767.58,914.85,850.99,1917.16,817.34,1063.04
1967,1114.26,3560.89,844.39,2011.28,900.83,3172.59,834.56,727.71,947.28,1111.03,2939.96,1788.7,1198.89,1705.13,3606.77,2502.55,1632.58,1332.77,710.94,574.32,1142.36,1073.97,2414.26,1537.91,169.6,380.3,590.22,702.51,679.74,664.31,711.31,1087.52,1173.93,761.33,1525.27,1053.38,1230.8,1407.04,1916.83,857.53,1242.28,1122.72,2223.53,1106.75,1164.21
1968,1008.77,2658.46,733.32,2386.81,621.66,2383.76,543.88,503.04,833.58,1029.52,3041.12,1791.3,1017.61,1904,4139.27,3012.85,1838.95,1380.48,550.27,304.99,1484.32,898.21,2856.6,1840.87,155.6,296.54,419.52,512.26,488.92,533.96,514.02,965.03,1026.63,600.64,1843.53,1204.47,986.9,1176.4,1833.33,749,1199.56,954.67,1703.52,899.1,1081.64
1969,1085.78,2844.79,1007.2,2184.9,664.19,2822.13,557.53,505.95,865.85,1124.63,2546.13,1563.4,1241.16,1749.72,3812.23,2682.66,1714.47,1333.56,518.82,358.84,1250.15,994.62,2415.86,1729.82,182.81,320.25,499.52,586.5,569.82,547.77,597.56,862.09,934.14,634.58,1655.26,1217.12,937.4,1396.29,2135.36,640.68,1309.15,1128.18,1825.48,975.24,1163.22
1970,1257.88,3533.64,977.36,2857.8,779.11,2936.59,1123.52,635.52,915.66,1118.12,2323.34,1694.3,1381.5,2332.06,5061.83,3123.21,2320.52,1526.51,664.23,545.09,1370.69,971.07,3015.7,1940.56,155.84,320.59,450.81,557.34,530.74,566.25,552.72,1003.66,1102.98,636.58,1988.15,1307.58,1136.5,1608.52,2410.68,1330.79,1419.04,1317.54,1656.39,1182.12,1143.92
1971,1144.88,3115.17,793.83,2056.66,924.56,2406.93,709.34,721.97,1046.75,1030.16,2792.75,2056.4,1015.56,1530.73,3086.8,2113.64,1783.46,1551.25,649.88,528.14,1610.13,1106.09,2006.68,2063.87,188.52,298.09,345.41,461.56,436.14,530.37,458.3,910.18,1038.17,534.96,1782.93,1590.37,1224.3,1487.52,1937.08,943.96,1835.13,1146.94,1772.51,1241.79,1488
1972,874.32,3493.63,711.57,1884.78,644.76,1813.11,381.37,507.68,850.19,934.36,2689.32,1438.2,686.05,1494.58,3226.2,1877.33,1551.27,1164.27,530.71,334.45,1183.28,1153.47,1828.06,1321.01,204.99,408.51,629.39,710.42,685.7,663.66,699.98,1016.07,1081.78,771.16,1506.71,972.33,942.2,1036.35,1192.49,521.78,1024.58,800.68,1865.59,882.85,1075.73
1973,1218.18,2958.76,860.45,2703.27,763.27,2316.13,845.59,646.09,1108.07,1206.16,2628.53,1651.7,1291.46,2106.88,4622.77,2819.31,2118.26,1308.47,753.1,600.47,1657.61,935.2,2794.02,1931.53,223.89,478.45,744.12,896.61,862.57,819.87,888.44,1406.15,1454.35,964.4,1983.08,1376.25,1210.2,1380.48,2236.44,813,1386.07,1347.73,1884.16,1168.55,1248.11
1974,1023.97,2674.17,824.5,2550,480.49,2789.5,322.78,416.33,642.57,1156.53,2716.3,1521.4,1098.63,2111.64,4616.94,3091.16,2018.97,1239.83,411.9,381.84,1588.11,817.25,2882.45,1919.62,190.16,378.28,534.11,616.48,597.31,579.2,604.64,814.86,866.6,640.65,1947.77,1428.19,671.7,1158.62,1374.86,374.62,1254.73,954.23,1535.34,857.94,884.26
1975,1278.18,2767.16,1106.55,2420.14,858.4,3259.71,920.35,710.15,1098.99,1465.29,3337.75,1836.8,1480.5,1936.48,4182.55,2550.32,1947.11,1475.21,805.96,712.22,1539.47,1090.12,2307.22,1716.13,221.84,484.81,672.71,863.41,817.76,865.35,842.7,1573.15,1612.17,973.89,1748.07,1311.19,1257,1524.54,2663.54,905.83,1241.76,1205.43,2265.8,1101.93,1333.94
1976,1102.11,2902.74,893.35,2172.01,755.11,2447.52,924.68,687.98,1159.88,863.73,2193.37,1511.9,1190.69,1890.69,4100.95,2882.53,1655.83,1377,841.99,550.81,1388.89,972.37,2683.35,1661.21,232.69,447.1,617.58,854.82,803.75,849.46,838.17,1635.33,1617.31,971,1601.16,1206.61,1320.7,1320.56,2774.83,991.76,1266.63,1065.96,1611.62,949.87,1153.57
1977,1207.82,2514.26,894.14,2631.53,901.95,2884.75,880.9,767.17,1133.86,1287.43,3265.73,1750.7,1165.2,1976.23,4207.17,2647.12,2078.96,1468,739.36,632.67,1436.33,1386.41,2543.3,1857.72,199.69,320.27,430.29,576.11,541.42,623.16,573.28,1107.97,1215.3,665.6,2075.54,1194.79,1295.2,1390.78,2046.34,933.97,1504.19,1168.24,2343.35,1008.13,1206.39
1978,1206.19,2864.96,1137.67,2187.89,846.97,2427.41,689.44,729.25,1212.84,1279.8,2866.05,1766.6,1154.91,1537.16,3644.58,2210.38,1658.88,1485.73,833.05,580.56,1619.35,1104,2193.53,2039.58,242.43,475.68,611.24,821.73,778.72,850.65,808.24,1502.83,1569.18,910.49,1813.99,1385.09,1346.2,1524.32,1621.83,954.5,1587.65,1206.23,2308.31,1075.55,1292.08
1979,1048.73,1859.29,848.98,2353.26,475.97,2419.46,737.85,431.09,862.72,1188.39,2833.02,1747.1,1245.83,1897.44,4223.55,2482.78,1846.09,1109.86,553.91,411.79,1384.07,1159.89,2400.05,1650.12,169.82,378.54,581.51,684.89,663.08,655.96,694.03,1054.52,1122.33,757.53,1682.85,1181.94,905.6,1216.06,2029.55,1241.62,1052.72,1017.4,2101.22,762.75,935.99
1980,1082.91,3602.33,821.77,2211.93,771.55,2784.05,766.98,647.28,1114.83,1165.35,2619.77,1414.4,1124.52,1666.87,3587.98,2411.06,1775.5,1476.34,788.55,374.72,1444.93,817.75,2396.61,1692.4,187.86,409.67,576.71,757.19,714.27,768.08,746.09,1390.17,1454.93,862.42,1952.8,1107.37,1338.8,1357.94,1833.19,1215.68,1255.69,1007.43,1877.63,1121.85,1304.6
1981,1171.14,3115.2,991.7,2287.44,663.14,2764.8,898.37,588.69,970.5,1260.66,3073.09,1729.2,1389.43,1799.18,3796.54,3026.87,1767.72,1323.12,666.4,450.81,1325.81,1144.04,2776.66,1832.51,204.51,450.78,712.08,838.52,813.77,763.8,847.54,1237.4,1299.57,899.55,1652.94,1274.84,1126.3,1423.38,2617.93,1026.41,1298.04,1103.52,2101.09,1005.25,1092.57
1982,1003.34,2664.29,818.09,2111.1,758.47,2743.37,528.03,668.79,998.11,1093.06,2206.55,1560.9,1010.17,1782.84,3928.68,2527.49,1700.34,1293.84,681.59,490.55,1063.86,754.55,2465.9,1387.42,164.44,394.52,614.07,796.59,769.5,770.1,824.85,1221.02,1292.84,832.04,1523.63,999.99,1109.2,1322.35,1839.03,695.09,1111,941.43,1650.72,970,1141.58
1983,1236.77,3160.33,1125.72,2324.8,814.27,3521.51,974.88,687.92,1109.74,1271.89,2623.96,1398.4,1501.58,1940.44,4150.36,3084.01,1887.57,1426.98,724.96,572.29,1291.15,1079.78,3154.64,1813.6,202.39,423.17,640.05,841.36,807.17,811.59,860.31,1347.51,1399.8,916.01,1636.35,1180.47,1204.1,1427.33,2757.67,1452.46,1226.6,1206.12,2210.32,1064.71,1355.55
1984,1055.11,3201.04,688.62,2547.81,602.44,2309.81,710.31,550.72,1031.63,1001.31,2454.62,1341.5,1024.22,1876.62,4878.55,2813.77,1801.11,1351.44,732.53,397.84,1736.94,1029.43,2951.14,2150.54,192.18,397.85,547.86,723.33,679.56,733.75,705.1,1343.35,1376.88,824.32,1766.46,1394.19,1174.7,1166.77,2090.38,831.01,1412.3,931.19,1712.43,892.44,987.33
1985,1072.83,2724.14,812.53,2331.68,891.48,1932.02,493.57,705.4,1115.87,940.12,2385.38,1385.6,990.48,1802.61,3959.54,2693.1,1741.74,1410.92,708.89,398.92,1469.83,1029.02,2596.53,1616.15,199.54,344.65,462.63,586.86,553.9,625.17,577.87,1103.95,1204.72,667.86,1799.09,1406.48,1300.9,1386.03,1469.35,502.67,1289.36,1079.07,1770.98,1207.46,1392.82
1986,1032.17,2405.18,845.53,2366.65,584.09,1782.37,483.62,513.69,977.79,978.45,2459.04,1540.7,944.59,1815.84,4007.92,2507.62,1793.79,1590.14,632.55,395.67,1204.44,955.6,2493.65,1865.91,209.26,455.77,699.14,821.98,795.82,760.45,832.83,1197.4,1247.39,900.55,1647.69,1143.26,1033.5,1326.07,1425.74,642.21,1281.33,955.74,1753.27,945.24,1130.11
1987,985.38,2655.62,869.42,2606.98,455.85,1837.32,322.26,381.25,756.37,935,2308.75,1295.4,1023.48,2131.9,4795.44,3205.35,1997.55,1097.34,429.21,259.1,1464.11,985.41,3035.73,1820.57,181.76,367.78,575.4,669.79,647.79,645.27,677.95,930.85,991.25,721.82,1722.32,1481.53,727.3,1209.6,1590.74,400.2,1358.8,857.76,1645.31,846.03,906.27
1988,1260.07,3287.18,1076.9,3022.13,910.38,3389.89,879.45,764.2,1296.05,1352.51,3309.61,1508.6,1511.63,2369.72,5509.21,3052.05,2419.07,1363.33,969.35,496.46,1472.07,1237.78,2938.76,1900.04,241.89,483.16,656.51,869.08,819.62,893.57,847.57,1639.64,1762.38,968.24,2024.09,1205.25,1533,1340.14,2708.22,1122.47,1240.28,1036.54,2323.34,1011.38,1296.23
1989,1034.04,2657.22,1003.06,2220.53,724.47,2228.22,635.61,589.62,950.25,1041.78,2657.25,1870.4,1081.87,1697.33,3627.46,2212.13,1764.91,1460.18,671.7,380.1,1396.9,1020.76,2030.61,1613.59,174.47,375.17,509.14,641.31,606.27,668.73,624.06,1192.01,1284.4,729.58,1759.46,1113.29,1100.5,1329.05,2021.39,919.55,1176.83,822.44,1858.99,926.52,1141.94
1990,1242.16,2632.05,1061.26,2666.25,866.62,1859.22,786.22,737.22,1248.04,908.3,2179.99,1208.2,1347.14,2125.71,4468.69,3013.61,2124.42,1659.82,899.63,497.94,1383.3,955.98,2982.19,1952.04,222.49,442.19,627.07,832.09,789.82,844.75,828.76,1539.05,1615.47,920.53,2034.78,1204.24,1468.6,1673.3,2614.47,826.09,1486.1,1382.04,1684.08,1160.74,1385.7
1991,1033.18,3077.16,978.47,2678.24,550.85,2145.15,471.8,459.88,811.04,1122.9,2866.28,1691.4,943.13,2027.89,4363.98,2868.91,2182.05,1454.58,548.75,311.59,1452.12,972.21,2812.54,1883.92,141.67,325.95,499.87,622.67,599.99,601.48,633.09,961.08,1038.35,684.5,2124.51,1105.59,942.1,1385.86,1612.69,525.7,1339.3,853.31,1943.97,809.07,886.69
1992,965.08,2938.28,831.07,2129.42,593.41,2519.01,745.57,549.5,1050.81,1047.24,2457.9,1703.5,1060.04,1624.83,3432.98,1923.11,1766.72,1355.07,757.92,392.09,1215.14,931.92,1775.39,1494.04,194.16,399.63,596.17,791.06,747.65,791.92,786.2,1456.45,1521.4,887.76,1682.71,818.71,1130,1124.06,2154.83,991.58,919,795.87,1693.16,786.67,939.64
1993,1066.93,2692.85,804.89,2626.04,778.66,2602.97,659.81,618.42,877.64,1122.13,2602.78,1773.6,1206.53,2060.15,4722.41,2949.54,2082.89,1340.33,609.09,462.79,1271.45,1099.62,3009.45,1887.97,178.25,376.94,507.02,639.34,606.83,659.8,624.41,1052.65,1126.77,697.02,1972.96,914.76,1121.1,1205.47,2163.26,723.21,1117.12,898.29,1999.86,846.58,1155.55
1994,1156.27,3434.09,948.77,2015.99,801.44,3126.46,1034.74,640.87,909.28,1262.63,3000.97,1738.4,1372.22,1626.52,3144.88,2176.52,1665.06,1320.05,610.79,576.97,1084.54,986.11,2051.32,1410.35,183.89,412.44,621.55,739.49,708.6,718.01,730.12,1205.2,1215.2,825.75,1650.74,975.72,1059.9,1438.92,2541.35,973.53,1064.59,1330.65,2098.84,1055.39,1117.45
1995,1146.73,3356.14,1161.11,2450.74,762.87,3942.35,548.57,659.32,1190.92,1360.85,2711.58,1705.1,1219.29,1845.88,4199.1,2477.09,2002.63,1304.53,840.51,540.86,1239.16,925.08,2372.57,1810.86,233.58,453.82,593.93,801.24,756.06,841.99,791.78,1595.41,1655.73,926.63,2034.63,1064.49,1267.3,1341,1700.24,550.71,1110.19,1108.36,1884.97,924.93,1152.26
1996,1110.1,3439.94,1035.34,2225.59,844.06,2037.23,832.8,747.89,1123.95,1126.49,2565.86,1574,1186.03,1728.7,3597.27,2426.23,1829.44,1054.37,834.02,588.14,1331.01,952.22,2319.26,1591.6,241.33,558.44,824.3,976.04,936.68,953.33,961.81,1527.23,1633.09,1057.4,1973.71,1070.24,1328.6,1225.46,2522.34,1025.36,1099.45,1066.71,1991.62,1090.7,1136.37
1997,1119.75,2956.09,946.07,2131.06,677.06,2968.28,831.47,615.51,1084.01,1246.2,3077.95,1885.5,1198.81,1733.78,3521.8,2582.78,1735.61,1442.83,754.31,483.18,1448.37,1255.91,2361.06,1774.14,195.39,451.1,584.77,816.09,768.01,849.41,798.22,1507.21,1561.33,896.52,1790.28,1164.15,1217.6,1181.29,2263.72,1099.64,1209.9,1029.09,2387.39,920.87,1102.15
1998,1187.06,2925.71,1022.15,2583.5,787.53,2465.9,967.97,625.05,840.03,1318.8,3373.94,1781.2,1225.7,2016.22,4301.43,2910.07,2102.51,1527.35,612.37,472.93,1634.75,1228.16,2820.03,1882.9,156.19,360.78,588.09,706.85,683.22,647.84,712.64,1039.41,1060.94,767.8,2138.41,1299.98,1077.3,1261.31,2611.43,1351.9,1229.02,1041.52,2381.23,1052.87,1117.1
1999,1062.54,2926.03,760.45,2282.73,522.74,2405.41,564.93,451.32,877.24,1058.79,2381.15,1888.3,1130.78,1714.06,4036.53,2742.16,1729.39,1352.09,501.38,342.31,1782.57,932.38,2488.46,1995.22,208.27,381.48,536.87,633.41,605.43,623.86,612.36,989.35,1055.1,683.28,1798.87,1353.19,910.6,1289.63,1670.21,677.6,1236.97,1198.27,1669.4,1015.02,1014.57
2000,1041.99,2843.87,999.22,2547.78,604.49,2485.75,653.14,547.23,1085.37,1167.05,2723.96,1636.9,1052.08,1962.68,4282.19,2803.43,1956.97,1068.1,625.82,363.29,1637.03,1132.23,2687.69,1737.96,250.86,394.87,453.78,595.12,560.74,643.96,572.65,1066.49,1128.23,660.4,1999.79,1106.77,1162.9,1159.36,1941.33,915.64,969.99,868.41,1971.32,864.21,1299.15
2001,1024.42,3014.27,872.72,2485.13,513.61,1691.16,641.59,493.39,920.24,921.22,2610.44,1511.7,930.62,1824.29,4149.12,2494.53,1930.95,1392,611.47,473.28,1588.45,986.12,2474.62,1730.28,191.94,359.59,445.94,583.33,553.72,619.59,575.44,1047.57,1139.28,648.42,1874.21,1244.77,981.3,1337.55,1705.16,846.97,1170.4,942.49,1648.85,819.74,887.6
2002,908.1,2578,758.08,2242.32,452.5,1679.46,393.41,387.35,930.79,877.85,2123.03,1180.6,873.04,1772.14,3744.9,2542.53,1795.96,1265.06,506.58,209.73,1444.72,938.75,2361.13,1844.34,238.48,387.64,485.84,594.04,567.55,617.38,584.64,969.6,1043.48,658.95,1926.34,1177.54,898.5,1109.22,1368.43,503.41,1102.45,805.22,1678.77,772.71,1023.54
2003,1054.2,2489.59,823.51,2229.85,861.86,1789.94,846.58,713.27,998.03,898.11,2402.67,1625.6,976.43,1666.63,3664.87,2352.04,1726.85,1530.11,746.12,506.27,1496.32,976.41,2195.31,1747.93,201.54,474.32,753.24,882.59,850.84,826.96,878.24,1353.39,1375.52,964.22,1739.47,1208.01,1231.1,1304.69,2010.31,1006.99,1093.66,1016.66,1666.78,933.59,1129.42
2004,1028.36,3177.81,809.44,2339.22,431.36,2094.59,760.93,417.2,810.56,1081.02,2912.57,1549.6,1159.11,1856.74,3630.29,2562.49,1927.89,1240.73,527.51,375.78,1494.37,1166.7,2484.94,1670.82,179.94,377.4,555.52,675.07,650.1,654.78,678.27,1065.17,1106.73,731.49,2022.93,1273.8,825.8,1270.67,2681.49,1046.67,1165.47,916.09,2004.25,773.25,687.56
2005,1114.59,3676.97,1143.36,2001.77,591.24,3419.97,948.25,536.87,919.7,1371.65,2567.29,1420,1485.43,1501.85,3141.74,2150.23,1604.62,1448.79,662.99,422.6,1206.87,1166.99,2031.52,1588.11,180.32,369.93,589.68,704.86,678.24,670.9,709.75,1181.98,1218.23,784.64,1609.64,1027.58,1088.8,1284.23,2896.76,1006.79,1062.42,977.29,2200.59,770.47,918.18
2006,1189.7,3114.59,1115.67,2037.58,693.06,2910.03,997.84,648.49,1276.9,1222.85,2718.06,1688.1,1607.27,1542.06,2903.06,2168.16,1611.75,1627.1,941.37,449,1312.25,1053.9,1726.95,1806.26,236.98,543.47,766.09,1018.22,958.92,1039.66,992.03,1892.6,2002.8,1127.29,1733.93,1136.02,1408.1,1394.83,3132.55,1157.44,1305.08,1176.53,1924.52,811.84,1020.1
2007,1133.78,2692.37,939.01,2360.06,600.5,3277.65,909.02,537.65,891.82,1439.57,3490.07,1458.5,1309.49,1843.93,3793.59,2568.31,1902.77,1439.23,627.55,451.14,1418.68,1129.99,2457.3,2064.51,165.12,361.52,487.08,648.81,619.47,658.31,654.01,1088.98,1133.62,717.45,1927.15,1181.79,1023.8,1261.63,2698.23,1113.98,1356.02,928.79,2337.55,777.92,917.55
2008,1156.11,3876.97,1005.27,2439.29,627.72,2355.19,804.2,610.58,1071.23,1297.94,3196.89,1739,1167.42,1735.17,3691.03,2293.02,1987.04,1527.33,753.09,461.07,1624.31,1331.54,2170.41,1883.6,195.22,425.7,604.75,782,747.26,779.99,785.05,1370.91,1410.45,872.76,1969.76,1278.38,1197.9,1388.11,2315.47,1211,1320.8,1006.2,2480.87,973.29,924.8
2009,998.17,2626.66,849.14,1794.53,588.83,2985.31,769.53,472.26,698.52,1322.98,2947.62,1383.5,1302.37,1573.66,2957.17,2094.03,1662.81,1222.52,461.54,362.93,1163.53,1063.59,1974.36,1567.33,137.33,322.09,522.37,596.65,582.02,545.58,609.06,857.58,858.53,654.38,1619.01,1009.58,844.8,1116.61,2217.91,1134.11,1013.21,932.17,2253.72,708.74,833.03
2010,1248.69,3170.62,1351.6,2588.08,795.35,3343.6,1296.59,674.39,955.27,1363.87,3077.83,1850.9,1665.05,1917.28,4164.72,2460.29,2118.47,1547.61,731.22,584.73,1593.11,1293.44,2433.67,1724.21,226.79,501.3,722.76,855.83,820.97,826.19,834.75,1378.88,1367.2,956.93,2177.83,1118.74,1115.9,1442.51,3471.51,1895,978.8,958.38,2265.87,653.75,1003.41
2011,1144.37,3385.51,810.97,1812.42,800.09,2781.75,794.13,706.71,1083.14,1227.91,2555.8,1485.2,1315.33,1560.08,2874.12,2326.43,1567.12,1377.75,807.43,510.52,1655.81,1079.6,1816.43,1756.91,196.4,380.7,538.18,693.37,656.17,710.42,686.12,1328.48,1381.19,790.67,1558.42,1456.84,1272.4,1343.87,2763.44,1138.07,1433.03,1192.42,2106.58,1180.42,1263.83
2012,1065.79,3401.66,950.38,2182.67,828.84,1866.87,587.44,670.01,856.3,891.43,1866.22,1390.7,1077.54,1794.16,3495.54,2417.64,1889.37,1434.72,694.25,494.14,1253.92,841.53,2194.22,1494.52,150.47,313.97,483.36,623.2,589.25,611.6,611.82,1144.79,1185.24,689.23,1894.23,1302.74,1094.4,1545.56,1707.79,527.59,1280.58,1080.6,1527.46,1125.52,1001.4
2013,1254.63,3386.39,1078.81,2221.14,827.95,2637.77,937.1,759.02,1208.07,1220.09,2731.56,1535.3,1406.82,1581.26,3357.48,2151.47,1801.99,1397.53,864.23,640.72,1396.68,968.48,2059.8,1679.56,195.9,454.44,630.87,820.07,777.18,846.96,808.46,1495.87,1585.9,930.58,1869.48,1258.15,1426.9,1522.67,2560.05,1030.98,1324.75,1573.58,1937.13,1168.96,1283.25
2014,1065.13,3053.74,867.03,1863.2,539.92,2845.59,918.68,519.68,1003.28,1328.7,2961.93,1253.6,1236.68,1432.02,3107.34,1901.17,1480.04,1444.88,730.49,446.91,1140.95,1034.84,1898.45,1485.74,169.57,382.61,583.99,799.57,750.61,784.77,775.74,1419.56,1510.47,859.83,1417.79,811.6,1106.8,1338.87,2729.23,1153.05,1237.38,1040.42,2153.19,822.84,981.71
2015,1124.45,2891.08,909.21,2288.93,628.56,1772.44,699.28,606.88,1294.2,1026.09,2926.67,1865.6,1062.49,1802.91,4039.49,2718.94,1875,1298.71,832.83,531.49,1346.92,1468.82,2630.5,1851.11,285.93,564.58,822.61,1043.32,999.7,1008.43,1044.8,1644.54,1731.76,1131.35,1797.06,1181.35,1265.7,1405.92,1627.96,826.46,1215.42,1059.23,2414.16,910.18,1333.57
2016,1118.32,3566.98,970.37,2030.69,639.3,2426.45,711.09,587.45,919.11,1042.39,2009.66,957.2,1280.56,1662.52,3446.05,2267.31,1689.37,1468.67,663.97,557.3,1440.06,705.01,2161.7,1719.01,157.37,344.79,469.41,616.02,584.08,636.92,609.96,1132.3,1186.2,701.69,1826.08,1305.39,1072.5,1480.56,2387.48,866.95,1383.71,1260.41,1573.25,1029.35,980.24
2017,1157.12,3247.66,983.73,2463.7,749.03,2013.24,926.26,623.76,1147.48,1176.96,2685.72,1836.6,1223.91,2004.38,4343.29,3047.81,1926.55,1430.86,703.4,467.86,1396.61,1161.34,3019.12,1933.96,259.68,453.64,569.61,749.48,713.76,768.79,739.17,1193.35,1288.79,790.47,1870.53,1152.07,1242.4,1402.38,2722.16,1099.43,1263.81,971.36,2016.66,987.03,1381.18
2018,1018.85,3435.34,824.18,1784.41,767.52,2008.31,542.25,647.03,1009.18,1023.13,2735.88,1326.4,1020.5,1482.24,2983.72,2070.15,1526.49,1556.73,685.83,440.04,1173.19,972.41,1954.7,1404.67,209.57,363.1,424.65,582.94,546.91,634.29,564.98,1085.91,1198.88,647.92,1661.22,1107.28,1187.1,1366.49,1758.23,718.3,1185.37,1019.62,1883.73,995.99,1167.78
2019,1320.91,2818.14,1046.63,2020.07,667.77,4383.01,1045.47,597.71,1142.13,1551.01,2951.41,2130.1,1763.34,1561.22,3343.53,2215.28,1610.51,1747.81,748.32,645.57,1362.98,1040.19,2095.2,1648.69,218.28,442.48,632.02,820.22,783.18,812.07,821.03,1394.12,1461.43,897.48,1647.84,1156.71,1246.1,1743.63,3195.5,1213.9,1324.73,1545.82,2046.48,1052.96,1282.85
2020,1231.95,3093.42,1119.56,2450.99,639,3618.75,878.18,600.35,991.96,1480.2,3089.57,1958.9,1624.6,1827.98,4206.36,2525.59,1996.55,1528.19,777.03,479.8,1514.74,1090.65,2538.8,1918.96,166.77,419.92,658.21,828.4,791.22,803.79,827.59,1413.21,1452.78,912.12,1916.6,1282.57,1165.4,1505.96,3142.33,1178.59,1342.73,1069.57,2118.21,896.61,931.15
2021,1209.84,3518.7,1168.44,1729.98,994.2,3095.26,671.18,786.11,1089.04,1526.37,3460.71,1712.9,1349.25,1450.02,3121.88,2202.15,1336.22,1522.89,829.75,488.75,1257.5,1550.32,2060.79,1780.63,195.21,363.49,489.54,685.78,642.49,695.8,664.27,1280.63,1357.61,741.69,1296.96,1232.66,1398.3,1351.77,2065.41,827.8,1387.19,1127.65,2616.8,1121.91,1452.98
